timestamp,open,high,low,close,tick_volume
2023-07-25 20:00:00,1.10423,1.10553,1.10355,1.10525,14913
2023-07-26 00:00:00,1.10529,1.10579,1.10442,1.10458,8415
2023-07-26 04:00:00,1.10457,1.10533,1.10377,1.10482,14856
2023-07-26 08:00:00,1.10482,1.10776,1.10475,1.10756,22378
2023-07-26 12:00:00,1.10757,1.10863,1.10574,1.10682,21384
2023-07-26 16:00:00,1.10682,1.10824,1.10574,1.10719,26293
2023-07-26 20:00:00,1.10718,1.11066,1.10564,1.10854,27109
2023-07-27 00:00:00,1.10854,1.10896,1.10747,1.10867,8650
2023-07-27 04:00:00,1.10866,1.11178,1.10866,1.10959,17876
2023-07-27 08:00:00,1.10957,1.11393,1.10879,1.1139000000000001,25103
2023-07-27 12:00:00,1.11391,1.11498,1.10475,1.1059,26725
2023-07-27 16:00:00,1.1059,1.10652,1.09838,1.0990199999999999,35451
2023-07-27 20:00:00,1.09903,1.10103,1.09659,1.09753,26816
2023-07-28 00:00:00,1.09747,1.09837,1.0974,1.09802,9472
2023-07-28 04:00:00,1.09803,1.09882,1.0959699999999999,1.09729,26103
2023-07-28 08:00:00,1.0973,1.09912,1.09434,1.0959699999999999,32136
2023-07-28 12:00:00,1.09598,1.1033,1.09566,1.10092,29002
2023-07-28 16:00:00,1.10092,1.10474,1.09929,1.10255,32063
2023-07-28 20:00:00,1.10254,1.10299,1.10113,1.10113,17162
2023-07-31 00:00:00,1.10193,1.10285,1.10125,1.10222,9474
2023-07-31 04:00:00,1.10221,1.10265,1.10057,1.10059,19285
2023-07-31 08:00:00,1.10058,1.1036,1.10052,1.10338,25830
2023-07-31 12:00:00,1.10343,1.10404,1.10188,1.10282,21371
2023-07-31 16:00:00,1.10279,1.10459,1.10038,1.10072,30752
2023-07-31 20:00:00,1.10071,1.10113,1.09935,1.09962,16556
2023-08-01 00:00:00,1.09926,1.10031,1.09882,1.0989,6904
2023-08-01 04:00:00,1.09889,1.09912,1.09803,1.09903,14791
2023-08-01 08:00:00,1.0990199999999999,1.10005,1.09701,1.09747,24251
2023-08-01 12:00:00,1.09747,1.09847,1.09523,1.09563,24404
2023-08-01 16:00:00,1.09566,1.09889,1.0956,1.09722,28744
2023-08-01 20:00:00,1.09721,1.09852,1.09625,1.0984099999999999,13474
2023-08-02 00:00:00,1.0984,1.10198,1.098,1.09962,15281
2023-08-02 04:00:00,1.09962,1.10072,1.09803,1.09893,19062
2023-08-02 08:00:00,1.09892,1.10007,1.0976,1.09843,29229
2023-08-02 12:00:00,1.09842,1.09873,1.09574,1.09598,27124
2023-08-02 16:00:00,1.0959699999999999,1.09679,1.0918,1.09506,33769
2023-08-02 20:00:00,1.09505,1.09577,1.09347,1.09373,17648
2023-08-03 00:00:00,1.09374,1.09459,1.09357,1.094,7387
2023-08-03 04:00:00,1.09399,1.09493,1.09224,1.09234,17802
2023-08-03 08:00:00,1.09236,1.0943100000000001,1.09122,1.09247,29390
2023-08-03 12:00:00,1.09245,1.09562,1.09215,1.0937999999999999,30174
2023-08-03 16:00:00,1.09379,1.09627,1.09154,1.09552,33552
2023-08-03 20:00:00,1.0955300000000001,1.0957,1.09385,1.09488,13858
2023-08-04 00:00:00,1.09485,1.09555,1.09367,1.09554,8831
2023-08-04 04:00:00,1.09554,1.0961400000000001,1.09491,1.09504,20059
2023-08-04 08:00:00,1.09503,1.09585,1.09377,1.09404,22496
2023-08-04 12:00:00,1.09403,1.09977,1.0935,1.09888,25147
2023-08-04 16:00:00,1.09885,1.1042,1.09861,1.10341,34139
2023-08-04 20:00:00,1.10342,1.1039,1.1001,1.10013,16514
2023-08-07 00:00:00,1.10086,1.10157,1.10008,1.101,10404
2023-08-07 04:00:00,1.10101,1.10101,1.0991900000000001,1.09966,16665
2023-08-07 08:00:00,1.09967,1.09976,1.09708,1.09747,22921
2023-08-07 12:00:00,1.09748,1.09962,1.09654,1.09957,21200
2023-08-07 16:00:00,1.09956,1.10116,1.09857,1.10007,27140
2023-08-07 20:00:00,1.10006,1.10102,1.09955,1.10019,15319
2023-08-08 00:00:00,1.1002,1.10055,1.09895,1.0991900000000001,6903
2023-08-08 04:00:00,1.09918,1.09926,1.09767,1.09923,18155
2023-08-08 08:00:00,1.09922,1.10112,1.0973600000000001,1.09855,24305
2023-08-08 12:00:00,1.09854,1.09865,1.09346,1.0943100000000001,28163
2023-08-08 16:00:00,1.09432,1.09576,1.09289,1.09484,29870
2023-08-08 20:00:00,1.09483,1.09621,1.0948,1.09558,16149
2023-08-09 00:00:00,1.09557,1.09654,1.09482,1.09577,6404
2023-08-09 04:00:00,1.09576,1.09709,1.0955300000000001,1.09669,17112
2023-08-09 08:00:00,1.09669,1.09888,1.09669,1.09838,20558
2023-08-09 12:00:00,1.09837,1.09872,1.09621,1.09816,21789
2023-08-09 16:00:00,1.09817,1.09953,1.09715,1.09786,28078
2023-08-09 20:00:00,1.09785,1.09916,1.09712,1.09735,15283
2023-08-10 00:00:00,1.0973600000000001,1.0979,1.09657,1.0971,6160
2023-08-10 04:00:00,1.09711,1.09882,1.09676,1.09794,13773
2023-08-10 08:00:00,1.09795,1.10262,1.09787,1.10184,22538
2023-08-10 12:00:00,1.10186,1.10648,1.10108,1.10421,23237
2023-08-10 16:00:00,1.10418,1.10457,1.10076,1.10133,34448
2023-08-10 20:00:00,1.10133,1.10143,1.0976,1.09801,23690
2023-08-11 00:00:00,1.09801,1.09892,1.0977,1.09881,6550
2023-08-11 04:00:00,1.09882,1.09979,1.09837,1.09853,15968
2023-08-11 08:00:00,1.09854,1.10031,1.0984099999999999,1.09996,21679
2023-08-11 12:00:00,1.09995,1.1005,1.0965799999999999,1.09682,24703
2023-08-11 16:00:00,1.0968,1.09837,1.09455,1.09464,32370
2023-08-11 20:00:00,1.09465,1.09557,1.0942,1.09424,17300
2023-08-14 00:00:00,1.09458,1.09524,1.0936,1.09372,7369
2023-08-14 04:00:00,1.09371,1.09409,1.09291,1.09357,20525
2023-08-14 08:00:00,1.09357,1.09603,1.09261,1.09463,23936
2023-08-14 12:00:00,1.09464,1.09531,1.0902,1.09057,24553
2023-08-14 16:00:00,1.09058,1.0936,1.08747,1.09283,32887
2023-08-14 20:00:00,1.09284,1.09312,1.09027,1.09051,17192
2023-08-15 00:00:00,1.09049,1.09095,1.09001,1.09074,6923
2023-08-15 04:00:00,1.0907499999999999,1.09177,1.09003,1.09103,18408
2023-08-15 08:00:00,1.09102,1.09343,1.09063,1.09279,27093
2023-08-15 12:00:00,1.09279,1.09448,1.08969,1.09218,28540
2023-08-15 16:00:00,1.0922,1.09523,1.09149,1.09179,33024
2023-08-15 20:00:00,1.0918,1.09211,1.08991,1.09017,15555
2023-08-16 00:00:00,1.09018,1.0907,1.08969,1.09032,6898
2023-08-16 04:00:00,1.0903,1.0913599999999999,1.08988,1.09135,19403
2023-08-16 08:00:00,1.0913599999999999,1.09345,1.09105,1.09281,24215
2023-08-16 12:00:00,1.09279,1.09326,1.09021,1.09023,23263
2023-08-16 16:00:00,1.09022,1.09234,1.08862,1.08868,31863
2023-08-16 20:00:00,1.08868,1.09001,1.08715,1.08785,23984
2023-08-17 00:00:00,1.08784,1.08833,1.08664,1.08695,7855
2023-08-17 04:00:00,1.08696,1.08706,1.08618,1.08685,17775
2023-08-17 08:00:00,1.08686,1.08868,1.08626,1.0873,24650
2023-08-17 12:00:00,1.08727,1.0918,1.08637,1.09062,28214
2023-08-17 16:00:00,1.09063,1.09178,1.08668,1.08779,32234
2023-08-17 20:00:00,1.0878,1.08784,1.08564,1.08715,19333
2023-08-18 00:00:00,1.08715,1.08921,1.08641,1.08897,7919
2023-08-18 04:00:00,1.08898,1.08939,1.08801,1.08824,18755
2023-08-18 08:00:00,1.08826,1.08872,1.08636,1.08676,24598
2023-08-18 12:00:00,1.0867499999999999,1.08763,1.08449,1.08555,24880
2023-08-18 16:00:00,1.08556,1.08815,1.08529,1.08732,31599
2023-08-18 20:00:00,1.08733,1.08813,1.08681,1.08689,15523
2023-08-21 00:00:00,1.0864,1.08843,1.0864,1.08797,5968
2023-08-21 04:00:00,1.08797,1.0884,1.08696,1.08813,14533
2023-08-21 08:00:00,1.08812,1.08896,1.08722,1.08861,20054
2023-08-21 12:00:00,1.08862,1.09137,1.08855,1.08983,21974
